Elevator,Maids Room,Built in Kitchen Appliances,Pets Allowed,Natural Gas,Pool,Private Garden,Covered Parking,Electricity Meter,Balcony,Central A/C & heating,Water Meter,Landline,Security,Amenities_ID
0,0,0,0,0,0,1,1,1,1,0,0,0,1,313
0,0,0,0,0,0,1,1,0,0,0,0,0,1,314
0,1,1,0,0,0,1,1,0,0,1,0,0,1,315
0,1,1,1,1,0,0,1,1,1,1,0,1,1,316
1,0,1,0,1,0,0,1,1,1,0,1,1,1,317
1,0,0,0,1,0,1,0,1,1,0,1,0,0,318
0,0,1,0,1,1,0,1,1,1,0,0,0,1,319
0,0,0,0,0,0,0,0,1,0,0,0,0,0,320
1,0,0,0,0,0,0,1,1,1,0,1,0,1,321
1,0,0,1,1,1,0,1,1,1,1,1,1,1,322
1,1,0,1,1,1,0,1,1,1,0,0,1,1,323
1,1,0,0,0,0,0,0,0,1,0,0,0,1,324
1,0,0,1,0,0,0,0,1,1,0,1,0,1,325
0,0,1,0,1,0,1,1,1,1,0,0,0,1,326
0,0,0,0,1,1,1,0,1,1,0,1,0,1,327
0,0,1,0,1,0,0,1,1,1,0,1,1,1,328
1,0,0,0,1,0,0,0,0,1,0,1,0,0,329
0,0,1,1,1,1,1,1,1,1,1,1,0,1,330
0,0,0,0,1,0,1,0,1,0,0,0,0,1,331
1,1,1,1,1,1,1,0,1,1,1,1,1,1,332
1,0,0,1,1,0,0,0,1,0,0,1,1,0,333
0,0,1,1,1,0,0,1,1,1,1,1,1,0,334
0,0,0,0,0,1,1,0,1,1,0,1,0,1,335
0,0,0,0,1,0,1,1,1,0,0,0,1,1,336
0,0,0,0,1,0,1,1,1,0,0,0,1,0,337
1,0,0,0,1,1,0,1,0,1,0,0,1,1,338
0,0,0,0,1,0,0,1,1,0,0,0,1,1,339
1,0,0,1,1,0,0,0,0,1,0,0,1,1,340
0,0,1,1,1,0,1,1,1,1,1,1,0,1,341
1,1,0,1,1,1,1,1,1,1,0,0,1,1,342
1,0,0,0,1,0,0,1,1,0,0,1,0,1,343
1,0,0,0,0,0,0,0,0,1,0,0,1,1,344
0,0,0,1,1,0,0,1,1,0,0,1,1,0,345
0,0,1,1,1,0,0,1,1,0,1,1,1,1,346
1,0,1,1,0,0,0,0,1,1,1,1,0,1,347
0,0,1,1,1,0,0,1,1,1,0,1,0,1,348
1,1,0,1,0,0,0,1,1,1,0,1,0,1,349
1,0,0,0,1,0,0,0,1,0,0,1,1,1,350
1,1,0,1,0,0,0,1,0,1,0,0,0,1,351
1,0,0,0,0,0,0,0,1,1,1,1,0,1,352
0,0,0,0,1,0,0,0,1,1,0,1,0,1,353
0,1,0,1,0,1,1,0,0,1,0,0,0,1,354
0,1,1,1,1,0,0,0,1,1,1,1,0,0,355
0,0,0,0,1,0,0,0,1,0,0,0,1,0,356
0,0,0,1,1,0,1,1,1,1,0,0,0,1,357
1,0,0,1,1,0,0,0,1,1,1,1,1,1,358
1,0,0,0,0,0,0,0,0,0,0,1,0,0,359
1,0,0,0,1,0,0,1,0,1,0,1,0,0,360
1,1,0,1,1,0,0,1,1,1,0,1,0,1,361
0,0,1,0,1,0,0,0,1,1,1,1,1,0,362
0,0,0,1,0,1,0,1,1,1,0,1,0,1,363
1,0,1,1,1,0,0,0,1,1,1,0,1,1,364
1,1,1,1,1,0,1,0,1,1,1,1,1,1,365
1,0,1,1,1,0,0,1,1,1,1,1,1,0,366
0,0,0,1,1,0,0,0,1,1,1,1,1,1,367
1,1,0,1,1,1,0,1,1,1,0,1,1,1,368
1,0,0,1,0,1,0,0,1,1,0,1,0,1,369
1,0,0,1,1,0,1,1,1,1,1,1,1,1,370
0,0,0,1,0,0,1,0,0,0,0,0,0,0,371
1,0,0,0,0,1,0,0,0,1,0,0,0,1,372
1,0,0,1,0,1,0,1,1,1,0,1,0,1,373
1,0,1,1,1,1,0,1,1,1,1,1,1,1,374
0,0,0,0,1,1,0,1,1,1,0,1,1,1,375
1,0,1,0,1,0,0,0,1,1,1,1,1,0,376
1,0,0,0,1,0,1,0,1,1,0,1,1,1,377
1,0,0,0,1,0,1,0,1,1,0,1,1,0,378
1,0,0,1,1,1,1,1,1,1,0,1,1,0,379
0,0,0,1,0,1,0,0,1,0,0,0,0,1,380
0,0,0,0,0,0,1,1,1,1,0,0,1,0,381
0,1,0,0,0,1,1,0,0,1,0,0,0,1,382
0,0,0,0,0,0,1,0,0,0,0,0,0,1,383
0,0,1,0,1,1,1,1,1,0,0,1,1,1,384
0,1,0,1,0,0,1,1,0,1,0,0,0,1,385
0,0,0,1,1,1,1,1,1,0,0,0,1,1,386
0,0,0,0,0,1,0,1,1,1,0,1,0,1,387
1,0,0,0,0,0,0,1,1,0,0,1,1,1,388
1,0,0,0,1,0,1,0,1,0,0,1,1,0,389
1,0,0,1,1,1,1,0,1,1,0,1,1,1,390
0,0,0,0,1,0,0,0,1,1,1,1,1,1,391
0,0,0,0,1,0,0,1,1,1,0,1,0,0,392
0,0,0,0,0,0,0,1,0,1,0,0,1,0,393
0,0,1,1,1,1,1,1,1,0,0,0,0,0,394
1,0,1,0,1,0,0,0,0,1,0,0,1,1,395
0,0,0,0,1,1,0,0,1,1,0,1,1,1,396
1,0,0,0,0,1,0,0,1,1,0,1,0,1,397
1,0,0,0,0,1,1,0,1,1,0,1,0,1,398
